Horizontal Bias 1,Horizontal Bias 25,Horizontal Bias 50,Horizontal Bias 100,Horizontal Bias 250,Horizontal Bias 500,Horizontal Bias 1000,Horizontal Bias 5000
0.006137230867314574,0.06131332751454502,-0.004119349809350929,0.12418317025869414,0.042454139637054016,-0.007320966762525619,-0.10288013752990156,-0.07009859150904
-0.06093698885042805,-0.0661531213769639,0.03253541185993052,0.1098230039191876,-0.044427801441868704,0.019835360639297948,-0.11931687296502225,-0.07638375479173165
0.02568320578036241,-0.03414527687348109,-0.02816594893239784,0.141453284472443,-0.03275856666528026,0.0544133737288741,-0.1369982517626514,-0.09093835472513093
-0.02373658498365965,-0.015728200864064745,-0.01483694468902279,0.14840775751301566,-0.047709549314423096,0.07315215008904755,-0.12503251511727276,-0.11691410574464238
-0.020029154903378456,0.019113020111293396,-0.029424782164131753,0.13351234833296513,0.01700623148964762,0.13869912711829516,-0.17782234730154128,-0.04987260894959287
0.011534442004594917,-0.01713785458523412,-0.07184395959157586,0.13626172978056567,0.03256683548085546,0.1603451451730404,-0.14649951184970764,-0.005190106625672146
0.004336787937865227,-0.0024642292780790356,-0.06437929485716387,0.13787810166842998,0.026041496281206545,0.17952362890694806,-0.06529847808184339,0.0013940509683631967
-0.03807275907261584,0.0324972231594718,0.01998236189790044,0.12529518875478715,0.01080178912228,0.19786951379612003,-0.13886392461023214,-0.018653138179030204
0.035098472300360645,-0.035102687227685364,-0.017322161687024388,0.18782141093971877,0.007414376969990327,0.19660212195418028,-0.12549155667130818,0.012120945959223159
0.06030673213818623,0.008145566876201217,-0.010665900699423485,0.11016300433173791,0.0612190385579035,0.2230944912216653,-0.030523669749397936,0.010031139005366719
0.08581455109120316,0.05466780736476935,-0.027140700344932107,0.14050560970851095,0.10459704652291081,0.20525840823462865,-0.015637569732684847,0.034967123398886156
0.06712499041068523,0.05136688638178892,0.03469355884886867,0.15196248463445794,0.11256860143476151,0.2567375369916536,0.029861375722526246,0.0506203883842655
0.10925633862088985,0.047482229615255805,0.05532214760948292,0.19448907408034485,0.13799362705341173,0.23904474687817492,0.07709352955892693,0.06634191614069108
0.18307063843043925,0.07513388995901148,0.00760875690759708,0.1942967548516468,0.20756945179190783,0.15347044971040455,0.03070141810271308,0.029278449918053645
0.13565974668117997,0.08164303679146598,0.0028257514819670483,0.21567731088208814,0.1890081874295774,0.17918841669732463,0.07950973541098375,-0.008675055193350574
0.09141913171143173,0.08032988916292412,-0.02615717249878004,0.2091097516807329,0.13346570749339698,0.10809989098013278,-0.025832164860064337,-0.002262801678714602
0.08843383468718745,0.03714120636740237,-0.000558149742162749,0.20470681662771964,0.09080503688377684,0.11207277642751928,0.016942630035182458,-0.0038519220200202643
