Density 0.1,Density 0.2,Density 0.3
-0.031143319920349893,0.023119013000624675,-0.00010818241276262424
-0.024551286421591663,0.027790857633092036,-0.001905170542387641
-0.029088902755006512,0.03146203894664789,-0.0011860938948452123
-0.01625532551212106,0.03037503065361148,0.004038732228001753
-0.014053823397325466,0.020056154961212627,0.006921999105196021
0.001048577980837051,0.03918205772809179,0.0024046618112607636
0.001074291331080748,0.027024117875615147,0.0038307183729579426
-0.007280151364471075,0.017338149059414686,-0.0005892816617465527
-0.012783936602300938,0.02515946222180759,0.0047392894111252205
-0.01301524529621801,0.015340477006502626,0.006449645401865345
-0.00044610623504533334,0.013468848464203537,-0.0020072478708776853
-0.022564203198397713,0.008944402315458722,-0.006774764809568082
-0.009591083704057682,0.003958615539016878,-0.008074525858772707
0.0024527248082047994,-0.006442774603211803,-0.0010945757263309452
0.0171804268300528,-0.007505783644725478,-0.005007877982894881
0.017694838092972464,-0.010224930917512148,-0.008674643294730293
0.04034752391950157,-0.00674069931599736,-0.0026471091841984463
0.031475240921226125,-0.006364190370663668,-0.00031190473532440597
0.05638489516078743,0.00041049851930839487,-0.004010831822063028
0.012329365850455866,-0.0015870390458922604,0.005159260464966188
0.032399002836260925,-0.0050979060806106155,0.0017585683902721862
0.013315154993691132,-0.004153027097665561,0.004625312441905658
-0.0005358670898596852,-0.004199323276078432,-0.0018549823344462119
-0.00012002664085381327,-0.002393800859792746,-0.004172019936575505
0.010883558532402832,-0.0009674921515640286,-0.0038701120102411506
0.021009958827336014,-0.0032128543268239522,-0.0034232590333562645
0.015183295501786447,-0.0030060280461745416,-0.004463785033550038
0.00873895479386873,-0.010191403151634177,-0.004714624206069145
0.008914936881921666,-0.006231459691862896,-0.006494636752569172
0.014723759864876831,-0.003905642814504201,-0.002499492920982407
0.01499703701628358,0.0036429387148097228,-0.0028368895726578127
0.028341677383151964,0.0010006190345903069,-0.005407987658606722
0.019144142102404494,0.005865907496552219,-0.0076350373768315554
0.018425464670505882,0.009370144308672343,-0.00862692589337163
0.019689219102986,0.0037948813699910087,-0.008904966788369693
0.024917044230252518,0.003621512984766847,-0.010809279004062053
0.0323827999957329,0.006458262097619746,-0.00836840634394217
0.0008159301404079935,0.006280848393682463,-0.004707839421340171
-0.013852572219392236,0.010659452489446714,-0.004562513239817351
-0.02088874464497887,0.0031542180182611863,-0.0070811386880421465
-7.136389131769967e-05,0.005883270228011395,-0.007549356355058888
-0.006952141336117546,-0.0012504471756370082,-0.006317411976490564
-0.015249229031192954,-0.0020854710237824146,-0.00761702612272589
-0.008105813020143321,-0.007224542640786795,-0.008925139150395136
0.006284957803694241,-0.007359053117103478,-0.008892342737023684
-0.006198959793853235,-0.013638155933224708,-0.005963825557202648
-0.0006827269771819127,-0.010288451047963219,-0.0028690069429399907
-0.006150719917979441,-0.016376032872966826,-0.005918906911468019
-0.006717558623115999,-0.011992349671490469,-0.009038378193632391
-0.005515312644432471,-0.014017915910128485,-0.007251151781654591
0.008029106178855376,-0.00957944908129613,-0.006736153239098649
0.007711365726667105,-0.00211621861232677,-0.0025386860713554954
0.010387441505837453,-0.0060644620490224645,-0.006068728341580149
-0.00995747119361855,-0.0020860944491450516,-0.00823404267749752
